objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc
43742,primrose school of south elgin,450 briargate dr,south elgin,il,60177,176,kane,17089,41.98128,-88.34419,child day care centers
43743,children of america,155 tyler rd,saint charles,il,60174,147,kane,17089,41.91677,-88.29317,child day care centers
43744,christian corner children's center,1600 w schaumburg rd,schaumburg,il,60194,40,cook,17031,42.02588,-88.11917,child day care centers
43745,happy days - day care,6115 s archer rd,summit,il,60501,57,cook,17031,41.78024,-87.81262,child day care centers
43746,bumc noah's ark christian preschool,98 algonquin rd,barrington,il,60010,94,cook,17031,42.11273,-88.17641,child day care centers
43747,the ivy academy and early learning,545 hiawatha dr,elgin,il,60120,97,cook,17031,42.04781,-88.26064,child day care centers
43748,nurturing developmental and learning ctr,2530 e state st,burnham,il,60633,108,cook,17031,41.630001,-87.557562,child day care centers
43749,a step by step learning academy inc,1909 howard st,evanston,il,60202,30,cook,17031,42.01948,-87.69998,child day care centers
43750,kids and company,150 w higgins rd,schaumburg,il,60195,137,cook,17031,42.04732,-88.08372,child day care centers
43751,mosaic early childhood center,4023 dempster st,skokie,il,60076,98,cook,17031,42.0404,-87.72866,child day care centers
43752,kripa montessori school schaumburg,1021 n salem dr,schaumburg,il,60194,111,cook,17031,42.04525,-88.099501,child day care centers
43753,kindercare learning center number 301743,150 s wildflower ln,schaumburg,il,60173,175,cook,17031,42.025641,-88.037441,child day care centers
43754,alfred campanelli ymca create and play,300 w wise rd,schaumburg,il,60193,56,cook,17031,42.00502,-88.08735,child day care centers
43755,little vines child care center,45 e 150th st,harvey,il,60426,22,cook,17031,41.61758,-87.65307,child day care centers
43756,chicago botanic garden nature preschool,1000 lake cook rd,glencoe,il,60022,29,cook,17031,42.152417,-87.78639,child day care centers
43757,children's learning path montessori sch,1133 pfingsten rd,northbrook,il,60062,50,cook,17031,42.13173,-87.84856,child day care centers
43758,grandma jones day care center,777 sibley blvd,calumet city,il,60409,94,cook,17031,41.62239,-87.54414,child day care centers
43759,kclc dba university childrens ctr,"446 e ontario st, ste 150",chicago,il,60611,142,cook,17031,41.89385,-87.61644,child day care centers
43760,sonshine preschool,18n377 galligan road,west dundee,il,60118,20,kane,17089,42.13022,-88.37321,child day care centers
43761,kiddie academy of batavia,2201 main st,batavia,il,60510,146,kane,17089,41.84678,-88.34389,child day care centers
43762,rachels learning center,835 w illinois ave,aurora,il,60506,87,kane,17089,41.77071,-88.33607,child day care centers
43763,tle at south elgin llc,171 s mclean blvd,south elgin,il,60177,104,kane,17089,41.996664,-88.316069,child day care centers
43764,lapetite academy,2441 w sullivan rd,aurora,il,60506,163,kane,17089,41.78879,-88.37727,child day care centers
43765,kings and queens children academy,929 e wilson st,batavia,il,60510,48,kane,17089,41.85226,-88.28986,child day care centers
43766,the learning tree of elgin west,2325 royal blvd,elgin,il,60123,312,kane,17089,42.05135,-88.33327,child day care centers
43767,st. mark's preschool,101 south 6th avenue,saint charles,il,60174,74,kane,17089,41.91332,-88.30801,child day care centers
43768,the early education station,600 willow lane,west dundee,il,60118,106,kane,17089,42.09173,-88.29125,child day care centers
43769,lighthouse centers elburn inc,153 wright st,elburn,il,60119,98,kane,17089,41.902,-88.47055,child day care centers
43770,ywca child care center,220 e chicago st,elgin,il,60120,70,kane,17089,42.03723,-88.28153,child day care centers
43771,children of america elgin llc,750 n mclean blvd,south elgin,il,60177,167,kane,17089,42.00584,-88.316,child day care centers
43772,everbrook academy,3090 w main street,st charles,il,60175,138,kane,17089,41.91629,-88.35322,child day care centers
