state_name,state_code,county_name,county_code,tract_name,tract_code,tot_pop,pop_under5,homeowner_rate,less_than_hs_rate,higher_education_rate,below_poverty_rate,income_cat,majority_white,majority_black,majority_asian,majority_hispanic
 Illinois,17, Cook County,031,Census Tract 305,030500,6344,376,0.5075,0.0637,0.6964,0.046,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 306.01,030601,3771,272,0.2671,0.1218,0.467,0.1779,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 306.03,030603,2305,121,0.125,0.07,0.5125,0.1562,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 306.04,030604,2921,12,0.2779,0.0571,0.6727,0.1842,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 307.01,030701,1509,104,0.171,0.0531,0.4677,0.2353,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 307.02,030702,2266,33,0.5991,0.0352,0.6665,0.1721,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 307.03,030703,3093,45,0.2565,0.0781,0.5948,0.2512,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 307.06,030706,2588,36,0.3895,0.0626,0.6208,0.0556,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 308,030800,4236,228,0.395,0.0292,0.7632,0.1017,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 309,030900,3076,112,0.4659,0.0482,0.7517,0.0585,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 310,031000,3652,200,0.4713,0.0156,0.7969,0.0633,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 311,031100,4898,202,0.187,0.0266,0.6494,0.1517,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 312,031200,5936,230,0.1692,0.2461,0.3677,0.3428,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 313,031300,6853,162,0.3594,0.0943,0.4707,0.1569,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 314,031400,4685,75,0.4866,0.0217,0.7408,0.0476,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 315.01,031501,4640,316,0.1939,0.1663,0.4676,0.4597,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 315.02,031502,4622,297,0.1264,0.141,0.5324,0.2793,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 317,031700,6119,311,0.4097,0.0479,0.7285,0.1374,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 318,031800,2114,101,0.3977,0.0172,0.7315,0.1239,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 319,031900,2417,84,0.3587,0.0498,0.7658,0.0178,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 321,032100,7279,173,0.247,0.1023,0.5537,0.1653,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 401,040100,4011,285,0.4805,0.0534,0.6905,0.0711,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 402.01,040201,6688,272,0.4356,0.0414,0.6614,0.0402,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 402.02,040202,7965,709,0.3411,0.1632,0.4457,0.1912,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 403,040300,3063,183,0.5962,0.0992,0.5354,0.1325,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 404.01,040401,3431,261,0.5909,0.0899,0.6413,0.0446,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 404.02,040402,4581,242,0.2902,0.0078,0.772,0.0712,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 406,040600,2785,156,0.364,0.0281,0.7818,0.0808,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 407,040700,3749,249,0.4553,0.0353,0.7607,0.087,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 408,040800,1577,44,0.4245,0.0281,0.7234,0.0476,high,1,0,0,0
